ticker,start,end,n_missed_seeds,missed_seeds,mean_score_ratio,miss_type_50,miss_type_75,label_return_abs_z3,label_volume_z2,label_volratio_1p5,panel_return_extreme,panel_volume_extreme,panel_gap_extreme,max_abs_z_return,max_volume_z,max_vol_ratio_5_20,max_abs_gap,max_abs_log_return_1d,peak_return_date
GE,2024-04-23,2024-04-23,2,"1,2",0.7981540572783529,threshold_miss,near_threshold_miss,True,True,False,True,False,True,4.114726681594872,2.5728551001508264,1.2966937453398135,0.0508689651831966,0.079515052542588,2024-04-23
HD,2023-02-21,2023-02-21,2,"0,1",0.8370111805118359,threshold_miss,near_threshold_miss,True,True,False,True,False,True,4.7544651733753085,3.0351087352060864,1.287474196418032,0.0389999338023309,0.073225355672825,2023-02-21
GOOGL,2024-07-24,2024-07-24,2,"1,2",0.8405690761390749,threshold_miss,near_threshold_miss,True,True,False,False,False,True,3.0725237164158448,2.4222897549305693,1.4143296507008043,0.045051980236095,0.0517016028234002,2024-07-24
LOW,2024-06-25,2024-06-25,2,"0,1",0.857917217057921,threshold_miss,near_threshold_miss,True,True,False,True,False,False,4.006572740763985,2.101682398957049,1.2573449494168856,0.0069616955831294,0.0500058624071366,2024-06-25
UNH,2023-11-30,2023-11-30,2,"0,2",0.9314958772073048,threshold_miss,near_threshold_miss,True,True,True,False,True,False,3.446354427246435,3.651784258884507,1.6935789903783465,0.0015140466601083,0.0330743469229554,2023-11-30
LW,2024-12-19,2024-12-19,1,1,0.0001245737706021,hard_miss,hard_or_mid,True,True,True,True,True,True,10.162669996333106,3.551887528515393,1.8960715052195756,0.1567375338942117,0.2243589488386006,2024-12-19
BLDR,2024-05-07,2024-05-07,1,1,0.0002646308136241,hard_miss,hard_or_mid,True,True,True,True,True,True,10.515916929578196,6.290888350178263,1.8021194380669576,0.12803664174753,0.2112915784026533,2024-05-07
DIS,2024-02-08,2024-02-08,1,1,0.0006736321955612,hard_miss,hard_or_mid,True,True,True,True,True,True,7.936583988272287,5.545631271255355,1.606757332598901,0.0800887345220025,0.1088444182984824,2024-02-08
TGT,2024-11-20,2024-11-20,1,1,0.0006912794340519,hard_miss,hard_or_mid,True,True,True,True,True,True,17.293686194589828,10.667255435865371,1.789545219145862,0.1735536945141901,0.240927258847044,2024-11-20
ORCL,2024-06-12,2024-06-12,1,1,0.0014467391089327,hard_miss,hard_or_mid,True,True,True,True,True,True,9.140459957602586,5.1058127387671295,1.6050425901081289,0.0872620785535543,0.1250398880585063,2024-06-12
APTV,2024-10-31,2024-10-31,1,1,0.0015685104560047,hard_miss,hard_or_mid,True,True,True,True,True,True,10.569430443859176,5.893269964163236,1.7869514948104943,0.0961343480241055,0.1950560911536361,2024-10-31
MMM,2024-07-26,2024-07-26,1,1,0.0016424202273742,hard_miss,hard_or_mid,True,True,True,True,True,True,16.081561539903085,4.57635437664812,1.8110581486067223,0.0899506996140237,0.2069379227272421,2024-07-26
